case	method	iteration	relative_true_residual
weak-chain-depth-5	pair-cmg	4	4.304875729899e-4
weak-chain-depth-5	pair-cmg	5	4.530441964013e-5
weak-chain-depth-5	pair-cmg	6	6.890453322371e-6
weak-chain-depth-5	pair-cmg	7	1.672280836305e-6
weak-chain-depth-5	pair-cmg	8	2.127231262872e-7
weak-chain-depth-5	pair-cmg	9	2.837187136117e-8
weak-chain-depth-5	pair-cmg	10	2.911210776328e-9
weak-chain-depth-5	pair-cmg	11	3.964835708054e-10
weak-chain-depth-5	pair-cmg	12	4.752891141648e-11
weak-chain-depth-5	oracle-jacobi	0	1.000000000000e0
weak-chain-depth-5	oracle-jacobi	1	3.123314599231e-2
weak-chain-depth-5	oracle-jacobi	2	3.609256473143e-3
weak-chain-depth-5	oracle-jacobi	3	2.360433010532e-4
weak-chain-depth-5	oracle-jacobi	4	2.886974782487e-5
weak-chain-depth-5	oracle-jacobi	5	1.824372017504e-6
weak-chain-depth-5	oracle-jacobi	6	2.169394163562e-7
weak-chain-depth-5	oracle-jacobi	7	1.662029250914e-8
weak-chain-depth-5	oracle-jacobi	8	1.782257952192e-9
weak-chain-depth-5	oracle-jacobi	9	1.137842533622e-10
weak-chain-depth-5	oracle-jacobi	10	1.268309423367e-11
weak-chain-depth-5	oracle-pair-finest	0	1.000000000000e0
weak-chain-depth-5	oracle-pair-finest	1	1.347107829256e-3
weak-chain-depth-5	oracle-pair-finest	2	2.355186341323e-6
weak-chain-depth-5	oracle-pair-finest	3	3.659666803592e-9
weak-chain-depth-5	oracle-pair-finest	4	5.085911780164e-12
weak-chain-depth-5	oracle-pair-first-two	0	1.000000000000e0
weak-chain-depth-5	oracle-pair-first-two	1	6.751342512092e-4
weak-chain-depth-5	oracle-pair-first-two	2	7.960483751130e-7
weak-chain-depth-5	oracle-pair-first-two	3	6.996358295911e-10
weak-chain-depth-5	oracle-pair-first-two	4	7.342465927184e-13
weak-chain-depth-5	oracle-pair-all-levels	0	1.000000000000e0
weak-chain-depth-5	oracle-pair-all-levels	1	6.631417560977e-4
weak-chain-depth-5	oracle-pair-all-levels	2	7.816904929908e-7
weak-chain-depth-5	oracle-pair-all-levels	3	6.605650924086e-10
weak-chain-depth-5	oracle-pair-all-levels	4	6.740924359349e-13
weak-chain-depth-5	oracle-map-all-levels	0	1.000000000000e0
weak-chain-depth-5	oracle-map-all-levels	1	6.266032747511e-5
weak-chain-depth-5	oracle-map-all-levels	2	1.089351205138e-8
weak-chain-depth-5	oracle-map-all-levels	3	3.390378899310e-12
community-depth-5	diagonal	0	1.000000000000e0
community-depth-5	diagonal	1	4.886280678508e-1
community-depth-5	diagonal	2	1.420220001629e-1
community-depth-5	diagonal	3	3.881641141338e-2
community-depth-5	diagonal	4	2.508809426826e-2
community-depth-5	diagonal	5	1.599762331431e-2
community-depth-5	diagonal	6	2.030022995000e-2
community-depth-5	diagonal	7	1.680481711712e-2
community-depth-5	diagonal	8	2.963886487314e-3
community-depth-5	diagonal	9	8.205348581378e-4
community-depth-5	diagonal	10	1.030303476548e-3
community-depth-5	diagonal	11	1.247317942445e-3
community-depth-5	diagonal	12	4.099465908571e-4
community-depth-5	diagonal	13	1.002701180634e-4
community-depth-5	diagonal	14	1.687253386852e-5
community-depth-5	diagonal	15	2.523870167442e-6
community-depth-5	diagonal	16	3.627087055388e-7
community-depth-5	diagonal	17	5.193044868032e-8
community-depth-5	diagonal	18	8.351804724513e-9
community-depth-5	diagonal	19	1.446174902043e-9
community-depth-5	diagonal	20	8.417533157929e-10
community-depth-5	diagonal	21	1.188909175718e-10
community-depth-5	diagonal	22	2.993764182279e-11
community-depth-5	symmetric-map	0	1.000000000000e0
community-depth-5	symmetric-map	1	5.765723038056e-2
community-depth-5	symmetric-map	2	1.281459004439e-2
community-depth-5	symmetric-map	3	1.884315464826e-2
community-depth-5	symmetric-map	4	7.762576089492e-3
community-depth-5	symmetric-map	5	8.838360782634e-3
community-depth-5	symmetric-map	6	3.743865904019e-4
community-depth-5	symmetric-map	7	7.585649878574e-6
community-depth-5	symmetric-map	8	1.363053594120e-7
community-depth-5	symmetric-map	9	2.136561818362e-9
community-depth-5	symmetric-map	10	3.037221509181e-11
community-depth-5	pair-cmg	0	1.000000000000e0
community-depth-5	pair-cmg	1	1.891988987351e-1
community-depth-5	pair-cmg	2	3.655999362616e-2
community-depth-5	pair-cmg	3	5.224278769335e-3
community-depth-5	pair-cmg	4	5.757167265896e-4
community-depth-5	pair-cmg	5	7.219601212084e-5
community-depth-5	pair-cmg	6	1.856593792002e-5
community-depth-5	pair-cmg	7	2.614009239748e-6
community-depth-5	pair-cmg	8	3.402695262167e-7
community-depth-5	pair-cmg	9	2.574763295057e-8
community-depth-5	pair-cmg	10	1.688809791970e-9
community-depth-5	pair-cmg	11	1.777613567503e-10
community-depth-5	pair-cmg	12	2.355618585838e-11
community-depth-5	oracle-jacobi	0	1.000000000000e0
community-depth-5	oracle-jacobi	1	2.840681747299e-2
community-depth-5	oracle-jacobi	2	3.203028599530e-3
community-depth-5	oracle-jacobi	3	2.056762551770e-4
community-depth-5	oracle-jacobi	4	2.384474845258e-5
community-depth-5	oracle-jacobi	5	1.554032278485e-6
community-depth-5	oracle-jacobi	6	1.821920976496e-7
community-depth-5	oracle-jacobi	7	1.188093129880e-8
community-depth-5	oracle-jacobi	8	1.419564884087e-9
community-depth-5	oracle-jacobi	9	9.434804507266e-11
community-depth-5	oracle-pair-finest	0	1.000000000000e0
community-depth-5	oracle-pair-finest	1	1.328987693657e-3
community-depth-5	oracle-pair-finest	2	1.978678782484e-6
community-depth-5	oracle-pair-finest	3	3.271141561651e-9
community-depth-5	oracle-pair-finest	4	4.565670843000e-12
community-depth-5	oracle-pair-first-two	0	1.000000000000e0
community-depth-5	oracle-pair-first-two	1	6.947837373448e-4
community-depth-5	oracle-pair-first-two	2	9.094882579534e-7
community-depth-5	oracle-pair-first-two	3	1.321529121048e-9
community-depth-5	oracle-pair-first-two	4	1.594493868845e-12
community-depth-5	oracle-pair-all-levels	0	1.000000000000e0
community-depth-5	oracle-pair-all-levels	1	6.734298844571e-4
community-depth-5	oracle-pair-all-levels	2	8.900760151440e-7
community-depth-5	oracle-pair-all-levels	3	1.297819068159e-9
community-depth-5	oracle-pair-all-levels	4	1.580069390668e-12
community-depth-5	oracle-map-all-levels	0	1.000000000000e0
community-depth-5	oracle-map-all-levels	1	9.932024193315e-5
community-depth-5	oracle-map-all-levels	2	3.172979487161e-8
community-depth-5	oracle-map-all-levels	3	1.804075877378e-11
latin-depth-2	diagonal	0	1.000000000000e0
latin-depth-2	diagonal	1	5.080887837108e-1
latin-depth-2	diagonal	2	1.407176941567e-1
latin-depth-2	diagonal	3	2.152212110221e-2
latin-depth-2	diagonal	4	3.308199874360e-3
latin-depth-2	diagonal	5	6.278431819904e-4
latin-depth-2	diagonal	6	8.801192621306e-5
latin-depth-2	diagonal	7	1.033862189596e-5
latin-depth-2	diagonal	8	1.446730177981e-6
latin-depth-2	diagonal	9	1.872502364973e-7
latin-depth-2	diagonal	10	2.749515892821e-8
latin-depth-2	diagonal	11	2.660005503601e-9
latin-depth-2	diagonal	12	3.453803372684e-10
latin-depth-2	diagonal	13	4.453555783423e-11
latin-depth-2	symmetric-map	0	1.000000000000e0
latin-depth-2	symmetric-map	1	4.604420356475e-2
latin-depth-2	symmetric-map	2	1.008772210701e-3
latin-depth-2	symmetric-map	3	1.341785493745e-5
latin-depth-2	symmetric-map	4	2.466310454217e-7
latin-depth-2	symmetric-map	5	5.176250300825e-9
latin-depth-2	symmetric-map	6	5.039683488090e-11
latin-depth-2	pair-cmg	0	1.000000000000e0
latin-depth-2	pair-cmg	1	2.047607283476e-1
latin-depth-2	pair-cmg	2	4.114908999911e-2
latin-depth-2	pair-cmg	3	2.983166556767e-3
latin-depth-2	pair-cmg	4	2.315902506355e-4
latin-depth-2	pair-cmg	5	2.069864219592e-5
latin-depth-2	pair-cmg	6	1.389552858812e-6
latin-depth-2	pair-cmg	7	9.339336413702e-8
latin-depth-2	pair-cmg	8	5.362073872622e-9
latin-depth-2	pair-cmg	9	4.114672080362e-10
latin-depth-2	pair-cmg	10	2.634447758876e-11
latin-depth-2	oracle-jacobi	0	1.000000000000e0
latin-depth-2	oracle-jacobi	1	4.985179891468e-2
latin-depth-2	oracle-jacobi	2	5.046212071894e-3
latin-depth-2	oracle-jacobi	3	3.862763061092e-4
latin-depth-2	oracle-jacobi	4	3.987769474938e-5
latin-depth-2	oracle-jacobi	5	3.714669375182e-6
latin-depth-2	oracle-jacobi	6	3.234813844735e-7
latin-depth-2	oracle-jacobi	7	3.361390262923e-8
latin-depth-2	oracle-jacobi	8	2.264990801139e-9
latin-depth-2	oracle-jacobi	9	1.928295233841e-10
latin-depth-2	oracle-jacobi	10	1.853317648936e-11
latin-depth-2	oracle-pair-finest	0	1.000000000000e0
latin-depth-2	oracle-pair-finest	1	2.999827298105e-3
latin-depth-2	oracle-pair-finest	2	5.525897280654e-6
latin-depth-2	oracle-pair-finest	3	1.192517601932e-8
latin-depth-2	oracle-pair-finest	4	2.498530056174e-11
latin-depth-2	oracle-pair-first-two	0	1.000000000000e0
latin-depth-2	oracle-pair-first-two	1	2.242865386989e-3
latin-depth-2	oracle-pair-first-two	2	4.384582092640e-6
latin-depth-2	oracle-pair-first-two	3	8.387803610725e-9
latin-depth-2	oracle-pair-first-two	4	1.040590044458e-11
latin-depth-2	oracle-pair-all-levels	0	1.000000000000e0
latin-depth-2	oracle-pair-all-levels	1	2.242865386989e-3
latin-depth-2	oracle-pair-all-levels	2	4.384582092640e-6
latin-depth-2	oracle-pair-all-levels	3	8.387803610725e-9
latin-depth-2	oracle-pair-all-levels	4	1.040590044458e-11
latin-depth-2	oracle-map-all-levels	0	1.000000000000e0
latin-depth-2	oracle-map-all-levels	1	3.501654999743e-4
latin-depth-2	oracle-map-all-levels	2	3.708599860892e-8
latin-depth-2	oracle-map-all-levels	3	4.032757216463e-12
latin-depth-3	diagonal	0	1.000000000000e0
latin-depth-3	diagonal	1	5.810181466648e-1
latin-depth-3	diagonal	2	1.770959273875e-1
latin-depth-3	diagonal	3	3.485421265208e-2
latin-depth-3	diagonal	4	4.728164909430e-3
latin-depth-3	diagonal	5	7.115512139544e-4
latin-depth-3	diagonal	6	9.766562372621e-5
latin-depth-3	diagonal	7	1.354340299022e-5
latin-depth-3	diagonal	8	1.924554290933e-6
latin-depth-3	diagonal	9	2.717378944617e-7
latin-depth-3	diagonal	10	3.380887686885e-8
latin-depth-3	diagonal	11	5.037437094648e-9
latin-depth-3	diagonal	12	7.394201753636e-10
latin-depth-3	diagonal	13	1.244883146248e-10
latin-depth-3	diagonal	14	2.012283816525e-11
latin-depth-3	symmetric-map	0	1.000000000000e0
latin-depth-3	symmetric-map	1	5.038913885657e-2
latin-depth-3	symmetric-map	2	1.509710150621e-3
latin-depth-3	symmetric-map	3	2.758583775663e-5
latin-depth-3	symmetric-map	4	5.581559729507e-7
latin-depth-3	symmetric-map	5	5.551191956140e-9
latin-depth-3	symmetric-map	6	7.206963055437e-11
latin-depth-3	pair-cmg	0	1.000000000000e0
latin-depth-3	pair-cmg	1	2.136046261660e-1
latin-depth-3	pair-cmg	2	4.977177018663e-2
latin-depth-3	pair-cmg	3	4.352263736907e-3
latin-depth-3	pair-cmg	4	3.054859852079e-4
latin-depth-3	pair-cmg	5	2.169795042273e-5
latin-depth-3	pair-cmg	6	1.690332678587e-6
latin-depth-3	pair-cmg	7	1.337013659558e-7
latin-depth-3	pair-cmg	8	1.030439887706e-8
latin-depth-3	pair-cmg	9	8.971133012778e-10
latin-depth-3	pair-cmg	10	5.716635889490e-11
latin-depth-3	oracle-jacobi	0	1.000000000000e0
latin-depth-3	oracle-jacobi	1	4.442953586422e-2
latin-depth-3	oracle-jacobi	2	5.329855311525e-3
latin-depth-3	oracle-jacobi	3	4.132367325474e-4
latin-depth-3	oracle-jacobi	4	4.491096250736e-5
latin-depth-3	oracle-jacobi	5	4.394496153953e-6
latin-depth-3	oracle-jacobi	6	3.682249701649e-7
latin-depth-3	oracle-jacobi	7	2.989252228180e-8
latin-depth-3	oracle-jacobi	8	2.837716024358e-9
latin-depth-3	oracle-jacobi	9	2.161645254341e-10
latin-depth-3	oracle-jacobi	10	1.726593751280e-11
latin-depth-3	oracle-pair-finest	0	1.000000000000e0
latin-depth-3	oracle-pair-finest	1	2.198075930414e-3
latin-depth-3	oracle-pair-finest	2	4.086973433099e-6
latin-depth-3	oracle-pair-finest	3	6.088612627785e-9
latin-depth-3	oracle-pair-finest	4	1.217358922548e-11
latin-depth-3	oracle-pair-first-two	0	1.000000000000e0
latin-depth-3	oracle-pair-first-two	1	1.268961874741e-3
latin-depth-3	oracle-pair-first-two	2	2.527113152204e-6
latin-depth-3	oracle-pair-first-two	3	3.038731790327e-9
latin-depth-3	oracle-pair-first-two	4	5.542293991907e-12
latin-depth-3	oracle-pair-all-levels	0	1.000000000000e0
latin-depth-3	oracle-pair-all-levels	1	1.259687361421e-3
latin-depth-3	oracle-pair-all-levels	2	2.496805651077e-6
latin-depth-3	oracle-pair-all-levels	3	2.966280862474e-9
latin-depth-3	oracle-pair-all-levels	4	5.348569139470e-12
latin-depth-3	oracle-map-all-levels	0	1.000000000000e0
latin-depth-3	oracle-map-all-levels	1	1.602383774319e-4
latin-depth-3	oracle-map-all-levels	2	3.214910270702e-8
latin-depth-3	oracle-map-all-levels	3	2.990350615088e-12
latin-depth-4	diagonal	0	1.000000000000e0
latin-depth-4	diagonal	1	2.764286419844e-1
latin-depth-4	diagonal	2	1.482738918738e-1
latin-depth-4	diagonal	3	2.378590699065e-2
latin-depth-4	diagonal	4	3.771658497574e-3
latin-depth-4	diagonal	5	7.417803559264e-4
latin-depth-4	diagonal	6	1.669173328771e-4
latin-depth-4	diagonal	7	2.907201518233e-5
latin-depth-4	diagonal	8	4.445006090547e-6
latin-depth-4	diagonal	9	6.434535962585e-7
latin-depth-4	diagonal	10	9.491989515633e-8
latin-depth-4	diagonal	11	1.252487564061e-8
latin-depth-4	diagonal	12	1.763629972984e-9
latin-depth-4	diagonal	13	2.195487043765e-10
latin-depth-4	diagonal	14	2.288280440184e-11
latin-depth-4	symmetric-map	0	1.000000000000e0
latin-depth-4	symmetric-map	1	4.100763732139e-2
latin-depth-4	symmetric-map	2	1.485820573249e-3
latin-depth-4	symmetric-map	3	3.658249433099e-5
latin-depth-4	symmetric-map	4	7.463138520824e-7
latin-depth-4	symmetric-map	5	1.337908845661e-8
latin-depth-4	symmetric-map	6	1.446736865775e-10
latin-depth-4	symmetric-map	7	2.121034189260e-12
latin-depth-4	pair-cmg	0	1.000000000000e0
latin-depth-4	pair-cmg	1	1.226235055333e-1
latin-depth-4	pair-cmg	2	2.480619092583e-2
latin-depth-4	pair-cmg	3	3.369021377381e-3
latin-depth-4	pair-cmg	4	2.822227134330e-4
latin-depth-4	pair-cmg	5	3.455122775680e-5
latin-depth-4	pair-cmg	6	3.036265805942e-6
latin-depth-4	pair-cmg	7	2.287995451169e-7
latin-depth-4	pair-cmg	8	1.896813619520e-8
latin-depth-4	pair-cmg	9	1.526166575361e-9
latin-depth-4	pair-cmg	10	1.085921957580e-10
latin-depth-4	pair-cmg	11	7.018649910001e-12
latin-depth-4	oracle-jacobi	0	1.000000000000e0
latin-depth-4	oracle-jacobi	1	3.427003281811e-2
latin-depth-4	oracle-jacobi	2	3.593928193470e-3
latin-depth-4	oracle-jacobi	3	2.164252007405e-4
latin-depth-4	oracle-jacobi	4	2.488745040993e-5
latin-depth-4	oracle-jacobi	5	1.465545935090e-6
latin-depth-4	oracle-jacobi	6	1.679755101052e-7
latin-depth-4	oracle-jacobi	7	1.139383040258e-8
latin-depth-4	oracle-jacobi	8	1.329066653181e-9
latin-depth-4	oracle-jacobi	9	8.136273966701e-11
latin-depth-4	oracle-pair-finest	0	1.000000000000e0
latin-depth-4	oracle-pair-finest	1	9.930201780723e-4
latin-depth-4	oracle-pair-finest	2	1.182761609544e-6
latin-depth-4	oracle-pair-finest	3	1.072211461736e-9
latin-depth-4	oracle-pair-finest	4	1.723774165770e-12
latin-depth-4	oracle-pair-first-two	0	1.000000000000e0
latin-depth-4	oracle-pair-first-two	1	6.860833890520e-4
latin-depth-4	oracle-pair-first-two	2	5.305449147361e-7
latin-depth-4	oracle-pair-first-two	3	6.220525677482e-10
latin-depth-4	oracle-pair-first-two	4	5.822962630860e-13
latin-depth-4	oracle-pair-all-levels	0	1.000000000000e0
latin-depth-4	oracle-pair-all-levels	1	6.830071471871e-4
latin-depth-4	oracle-pair-all-levels	2	5.282205693519e-7
latin-depth-4	oracle-pair-all-levels	3	6.244376071331e-10
latin-depth-4	oracle-pair-all-levels	4	5.808573961010e-13
latin-depth-4	oracle-map-all-levels	0	1.000000000000e0
latin-depth-4	oracle-map-all-levels	1	1.118802522621e-4
latin-depth-4	oracle-map-all-levels	2	1.043642733736e-8
latin-depth-4	oracle-map-all-levels	3	4.996283984327e-13
