case	method	iteration	relative_true_residual
community-depth-2	symmetric-map	3	5.497361203318e-3
community-depth-2	symmetric-map	4	7.782341465942e-3
community-depth-2	symmetric-map	5	3.113159697627e-4
community-depth-2	symmetric-map	6	5.447781767605e-6
community-depth-2	symmetric-map	7	1.851138433096e-7
community-depth-2	symmetric-map	8	1.142631415703e-9
community-depth-2	symmetric-map	9	1.475647764505e-11
community-depth-2	pair-cmg	0	1.000000000000e0
community-depth-2	pair-cmg	1	3.248969023077e-2
community-depth-2	pair-cmg	2	4.419742155573e-3
community-depth-2	pair-cmg	3	8.709650010981e-4
community-depth-2	pair-cmg	4	2.315653199149e-4
community-depth-2	pair-cmg	5	2.527308136983e-5
community-depth-2	pair-cmg	6	1.764803502000e-6
community-depth-2	pair-cmg	7	1.302632476940e-7
community-depth-2	pair-cmg	8	6.933567192508e-9
community-depth-2	pair-cmg	9	4.821280998953e-10
community-depth-2	pair-cmg	10	4.384366303121e-11
community-depth-2	oracle-jacobi	0	1.000000000000e0
community-depth-2	oracle-jacobi	1	1.315883184694e-2
community-depth-2	oracle-jacobi	2	1.581502315582e-3
community-depth-2	oracle-jacobi	3	2.675709552667e-4
community-depth-2	oracle-jacobi	4	1.964458548048e-5
community-depth-2	oracle-jacobi	5	1.846747006317e-6
community-depth-2	oracle-jacobi	6	1.878839639269e-7
community-depth-2	oracle-jacobi	7	2.905821029035e-8
community-depth-2	oracle-jacobi	8	2.806037267716e-9
community-depth-2	oracle-jacobi	9	1.979947201733e-10
community-depth-2	oracle-jacobi	10	1.909915831780e-11
community-depth-2	oracle-pair-finest	0	1.000000000000e0
community-depth-2	oracle-pair-finest	1	1.129387551729e-3
community-depth-2	oracle-pair-finest	2	5.242123957464e-6
community-depth-2	oracle-pair-finest	3	2.864314583074e-8
community-depth-2	oracle-pair-finest	4	2.128878153097e-10
community-depth-2	oracle-pair-finest	5	1.347069988280e-12
community-depth-2	oracle-pair-first-two	0	1.000000000000e0
community-depth-2	oracle-pair-first-two	1	9.656196455726e-4
community-depth-2	oracle-pair-first-two	2	4.971964833273e-6
community-depth-2	oracle-pair-first-two	3	1.722968268590e-8
community-depth-2	oracle-pair-first-two	4	5.721901959855e-11
community-depth-2	oracle-pair-all-levels	0	1.000000000000e0
community-depth-2	oracle-pair-all-levels	1	9.656196455726e-4
community-depth-2	oracle-pair-all-levels	2	4.971964833273e-6
community-depth-2	oracle-pair-all-levels	3	1.722968268590e-8
community-depth-2	oracle-pair-all-levels	4	5.721901959855e-11
community-depth-2	oracle-map-all-levels	0	1.000000000000e0
community-depth-2	oracle-map-all-levels	1	6.550396877836e-5
community-depth-2	oracle-map-all-levels	2	8.507569182019e-8
community-depth-2	oracle-map-all-levels	3	8.437566335464e-11
weak-chain-depth-3	diagonal	0	1.000000000000e0
weak-chain-depth-3	diagonal	1	4.178337525401e-1
weak-chain-depth-3	diagonal	2	7.238050664801e-2
weak-chain-depth-3	diagonal	3	1.838157765478e-2
weak-chain-depth-3	diagonal	4	2.082680673886e-2
weak-chain-depth-3	diagonal	5	2.184978263601e-2
weak-chain-depth-3	diagonal	6	3.933892769438e-2
weak-chain-depth-3	diagonal	7	1.369627558230e-2
weak-chain-depth-3	diagonal	8	2.288224128046e-3
weak-chain-depth-3	diagonal	9	7.380853574808e-4
weak-chain-depth-3	diagonal	10	1.208999990789e-3
weak-chain-depth-3	diagonal	11	2.005547536615e-3
weak-chain-depth-3	diagonal	12	4.963079030536e-4
weak-chain-depth-3	diagonal	13	1.016326952117e-4
weak-chain-depth-3	diagonal	14	1.628006249965e-5
weak-chain-depth-3	diagonal	15	1.575092781878e-6
weak-chain-depth-3	diagonal	16	2.172076038008e-7
weak-chain-depth-3	diagonal	17	3.143489483348e-8
weak-chain-depth-3	diagonal	18	4.172328725526e-9
weak-chain-depth-3	diagonal	19	2.280982759440e-9
weak-chain-depth-3	diagonal	20	2.520638752825e-10
weak-chain-depth-3	diagonal	21	2.199292210980e-11
weak-chain-depth-3	symmetric-map	0	1.000000000000e0
weak-chain-depth-3	symmetric-map	1	2.976604353614e-2
weak-chain-depth-3	symmetric-map	2	1.814062882814e-2
weak-chain-depth-3	symmetric-map	3	1.171635790170e-2
weak-chain-depth-3	symmetric-map	4	8.553179436775e-3
weak-chain-depth-3	symmetric-map	5	8.800081543153e-3
weak-chain-depth-3	symmetric-map	6	5.781593754530e-5
weak-chain-depth-3	symmetric-map	7	1.235874894210e-6
weak-chain-depth-3	symmetric-map	8	4.073067485554e-8
weak-chain-depth-3	symmetric-map	9	5.799428920410e-10
weak-chain-depth-3	symmetric-map	10	6.526682229131e-12
weak-chain-depth-3	pair-cmg	0	1.000000000000e0
weak-chain-depth-3	pair-cmg	1	1.773877079099e-1
weak-chain-depth-3	pair-cmg	2	2.049483308548e-2
weak-chain-depth-3	pair-cmg	3	2.412129470625e-3
weak-chain-depth-3	pair-cmg	4	2.482966248627e-4
weak-chain-depth-3	pair-cmg	5	4.701655046694e-5
weak-chain-depth-3	pair-cmg	6	1.374679519359e-5
weak-chain-depth-3	pair-cmg	7	1.475756307868e-6
weak-chain-depth-3	pair-cmg	8	1.246655904185e-7
weak-chain-depth-3	pair-cmg	9	1.022944682853e-8
weak-chain-depth-3	pair-cmg	10	9.718086372398e-10
weak-chain-depth-3	pair-cmg	11	1.150703657598e-10
weak-chain-depth-3	pair-cmg	12	9.850891332818e-12
weak-chain-depth-3	oracle-jacobi	0	1.000000000000e0
weak-chain-depth-3	oracle-jacobi	1	4.333123024715e-2
weak-chain-depth-3	oracle-jacobi	2	4.496935076073e-3
weak-chain-depth-3	oracle-jacobi	3	4.121853106833e-4
weak-chain-depth-3	oracle-jacobi	4	4.988085478041e-5
weak-chain-depth-3	oracle-jacobi	5	5.462987904125e-6
weak-chain-depth-3	oracle-jacobi	6	5.381940646260e-7
weak-chain-depth-3	oracle-jacobi	7	6.148934468784e-8
weak-chain-depth-3	oracle-jacobi	8	6.308686585061e-9
weak-chain-depth-3	oracle-jacobi	9	6.479417439437e-10
weak-chain-depth-3	oracle-jacobi	10	4.182693080024e-11
weak-chain-depth-3	oracle-pair-finest	0	1.000000000000e0
weak-chain-depth-3	oracle-pair-finest	1	2.941195526337e-3
weak-chain-depth-3	oracle-pair-finest	2	1.222123629501e-5
weak-chain-depth-3	oracle-pair-finest	3	3.526992680023e-8
weak-chain-depth-3	oracle-pair-finest	4	1.192589240253e-10
weak-chain-depth-3	oracle-pair-finest	5	3.770920014552e-13
weak-chain-depth-3	oracle-pair-first-two	0	1.000000000000e0
weak-chain-depth-3	oracle-pair-first-two	1	2.609118815492e-3
weak-chain-depth-3	oracle-pair-first-two	2	5.201506536373e-6
weak-chain-depth-3	oracle-pair-first-two	3	9.428340214399e-9
weak-chain-depth-3	oracle-pair-first-two	4	1.777474440389e-11
weak-chain-depth-3	oracle-pair-all-levels	0	1.000000000000e0
weak-chain-depth-3	oracle-pair-all-levels	1	2.588448392583e-3
weak-chain-depth-3	oracle-pair-all-levels	2	5.122596092863e-6
weak-chain-depth-3	oracle-pair-all-levels	3	9.246165482403e-9
weak-chain-depth-3	oracle-pair-all-levels	4	1.863977348333e-11
weak-chain-depth-3	oracle-map-all-levels	0	1.000000000000e0
weak-chain-depth-3	oracle-map-all-levels	1	2.327282199835e-4
weak-chain-depth-3	oracle-map-all-levels	2	5.685855209919e-8
weak-chain-depth-3	oracle-map-all-levels	3	3.605534694093e-11
community-depth-3	diagonal	0	1.000000000000e0
community-depth-3	diagonal	1	3.158305766254e-1
community-depth-3	diagonal	2	5.797827555209e-2
community-depth-3	diagonal	3	3.172004074531e-2
community-depth-3	diagonal	4	4.770218225935e-2
community-depth-3	diagonal	5	4.784497588656e-2
community-depth-3	diagonal	6	2.833572552285e-2
community-depth-3	diagonal	7	5.567021039443e-3
community-depth-3	diagonal	8	8.424489738471e-4
community-depth-3	diagonal	9	2.168272162348e-4
community-depth-3	diagonal	10	2.120293261955e-4
community-depth-3	diagonal	11	3.448475868434e-4
community-depth-3	diagonal	12	1.091786197691e-4
community-depth-3	diagonal	13	2.212511974298e-5
community-depth-3	diagonal	14	3.046544971956e-6
community-depth-3	diagonal	15	5.083493168147e-7
community-depth-3	diagonal	16	6.380336349624e-8
community-depth-3	diagonal	17	8.121818373444e-9
community-depth-3	diagonal	18	9.916313316497e-10
community-depth-3	diagonal	19	1.165752770616e-10
community-depth-3	diagonal	20	6.778435463706e-11
community-depth-3	symmetric-map	0	1.000000000000e0
community-depth-3	symmetric-map	1	2.889343328105e-2
community-depth-3	symmetric-map	2	4.359866292552e-2
community-depth-3	symmetric-map	3	1.398131337903e-2
community-depth-3	symmetric-map	4	1.838804201414e-2
community-depth-3	symmetric-map	5	1.431919249246e-3
community-depth-3	symmetric-map	6	5.104575081092e-5
community-depth-3	symmetric-map	7	8.346804296029e-7
community-depth-3	symmetric-map	8	7.812233772384e-9
community-depth-3	symmetric-map	9	1.460304448576e-10
community-depth-3	symmetric-map	10	1.331859643594e-12
community-depth-3	pair-cmg	0	1.000000000000e0
community-depth-3	pair-cmg	1	1.612266870585e-1
community-depth-3	pair-cmg	2	1.509726822249e-2
community-depth-3	pair-cmg	3	1.942920235812e-3
community-depth-3	pair-cmg	4	1.977335275202e-4
community-depth-3	pair-cmg	5	3.870353456804e-5
community-depth-3	pair-cmg	6	7.299580224834e-6
community-depth-3	pair-cmg	7	9.013094243185e-7
community-depth-3	pair-cmg	8	1.085986410334e-7
community-depth-3	pair-cmg	9	1.487344855050e-8
community-depth-3	pair-cmg	10	1.400366798755e-9
community-depth-3	pair-cmg	11	1.380107116625e-10
community-depth-3	pair-cmg	12	1.568471364460e-11
community-depth-3	oracle-jacobi	0	1.000000000000e0
community-depth-3	oracle-jacobi	1	3.196345925873e-2
community-depth-3	oracle-jacobi	2	3.809725036538e-3
community-depth-3	oracle-jacobi	3	3.547265649709e-4
community-depth-3	oracle-jacobi	4	3.392870792123e-5
community-depth-3	oracle-jacobi	5	3.852394750071e-6
community-depth-3	oracle-jacobi	6	3.725270816827e-7
community-depth-3	oracle-jacobi	7	4.326113833806e-8
community-depth-3	oracle-jacobi	8	4.338514109427e-9
community-depth-3	oracle-jacobi	9	3.569472610654e-10
community-depth-3	oracle-jacobi	10	3.719796806882e-11
community-depth-3	oracle-pair-finest	0	1.000000000000e0
community-depth-3	oracle-pair-finest	1	1.793589076526e-3
community-depth-3	oracle-pair-finest	2	8.463355221237e-6
community-depth-3	oracle-pair-finest	3	3.017591491390e-8
community-depth-3	oracle-pair-finest	4	6.252387001885e-11
community-depth-3	oracle-pair-first-two	0	1.000000000000e0
community-depth-3	oracle-pair-first-two	1	1.201733696842e-3
community-depth-3	oracle-pair-first-two	2	2.570144404937e-6
community-depth-3	oracle-pair-first-two	3	6.776082845698e-9
community-depth-3	oracle-pair-first-two	4	1.762456979969e-11
community-depth-3	oracle-pair-all-levels	0	1.000000000000e0
community-depth-3	oracle-pair-all-levels	1	1.188774545994e-3
community-depth-3	oracle-pair-all-levels	2	2.519056913720e-6
community-depth-3	oracle-pair-all-levels	3	6.417832325629e-9
community-depth-3	oracle-pair-all-levels	4	1.711367767631e-11
community-depth-3	oracle-map-all-levels	0	1.000000000000e0
community-depth-3	oracle-map-all-levels	1	1.384497089899e-4
community-depth-3	oracle-map-all-levels	2	2.996182790625e-8
community-depth-3	oracle-map-all-levels	3	1.207624905558e-11
weak-chain-depth-4	diagonal	0	1.000000000000e0
weak-chain-depth-4	diagonal	1	3.480911362866e-1
weak-chain-depth-4	diagonal	2	8.108073393909e-2
weak-chain-depth-4	diagonal	3	2.141439427281e-2
weak-chain-depth-4	diagonal	4	1.290622754829e-2
weak-chain-depth-4	diagonal	5	9.296240879104e-3
weak-chain-depth-4	diagonal	6	2.428472277130e-2
weak-chain-depth-4	diagonal	7	1.093226153984e-2
weak-chain-depth-4	diagonal	8	2.283347888922e-3
weak-chain-depth-4	diagonal	9	4.689758829076e-4
weak-chain-depth-4	diagonal	10	1.723078380813e-4
weak-chain-depth-4	diagonal	11	3.133256990000e-4
weak-chain-depth-4	diagonal	12	4.344161456250e-4
weak-chain-depth-4	diagonal	13	8.900295143517e-5
weak-chain-depth-4	diagonal	14	1.226075789688e-5
weak-chain-depth-4	diagonal	15	1.772313382830e-6
weak-chain-depth-4	diagonal	16	2.421462473836e-7
weak-chain-depth-4	diagonal	17	2.891168862908e-8
weak-chain-depth-4	diagonal	18	3.291069472844e-9
weak-chain-depth-4	diagonal	19	1.981390744533e-9
weak-chain-depth-4	diagonal	20	2.597748736669e-10
weak-chain-depth-4	diagonal	21	4.773355662878e-11
weak-chain-depth-4	symmetric-map	0	1.000000000000e0
weak-chain-depth-4	symmetric-map	1	2.899940493013e-2
weak-chain-depth-4	symmetric-map	2	5.039013169767e-3
weak-chain-depth-4	symmetric-map	3	9.268418064199e-3
weak-chain-depth-4	symmetric-map	4	1.802205034204e-3
weak-chain-depth-4	symmetric-map	5	4.246534399866e-3
weak-chain-depth-4	symmetric-map	6	2.235087685437e-4
weak-chain-depth-4	symmetric-map	7	6.927397842833e-6
weak-chain-depth-4	symmetric-map	8	1.168374762708e-7
weak-chain-depth-4	symmetric-map	9	2.015966691823e-9
weak-chain-depth-4	symmetric-map	10	2.802252212058e-11
weak-chain-depth-4	pair-cmg	0	1.000000000000e0
weak-chain-depth-4	pair-cmg	1	1.676012776024e-1
weak-chain-depth-4	pair-cmg	2	2.182548234135e-2
weak-chain-depth-4	pair-cmg	3	1.796868431368e-3
weak-chain-depth-4	pair-cmg	4	2.777318712980e-4
weak-chain-depth-4	pair-cmg	5	9.308047175580e-5
weak-chain-depth-4	pair-cmg	6	1.128616072489e-5
weak-chain-depth-4	pair-cmg	7	9.215292590114e-7
weak-chain-depth-4	pair-cmg	8	1.067478910116e-7
weak-chain-depth-4	pair-cmg	9	1.182988069677e-8
weak-chain-depth-4	pair-cmg	10	1.187740989666e-9
weak-chain-depth-4	pair-cmg	11	1.280807495628e-10
weak-chain-depth-4	pair-cmg	12	1.546654423885e-11
weak-chain-depth-4	oracle-jacobi	0	1.000000000000e0
weak-chain-depth-4	oracle-jacobi	1	2.838278556734e-2
weak-chain-depth-4	oracle-jacobi	2	2.854902049957e-3
weak-chain-depth-4	oracle-jacobi	3	2.416044428263e-4
weak-chain-depth-4	oracle-jacobi	4	2.706953094278e-5
weak-chain-depth-4	oracle-jacobi	5	2.604400780738e-6
weak-chain-depth-4	oracle-jacobi	6	2.556781585349e-7
weak-chain-depth-4	oracle-jacobi	7	2.455294734940e-8
weak-chain-depth-4	oracle-jacobi	8	2.235733554922e-9
weak-chain-depth-4	oracle-jacobi	9	2.299873049236e-10
weak-chain-depth-4	oracle-jacobi	10	1.938279910619e-11
weak-chain-depth-4	oracle-pair-finest	0	1.000000000000e0
weak-chain-depth-4	oracle-pair-finest	1	1.732889672735e-3
weak-chain-depth-4	oracle-pair-finest	2	4.022667214771e-6
weak-chain-depth-4	oracle-pair-finest	3	7.760249794982e-9
weak-chain-depth-4	oracle-pair-finest	4	1.104509358082e-11
weak-chain-depth-4	oracle-pair-first-two	0	1.000000000000e0
weak-chain-depth-4	oracle-pair-first-two	1	1.239374949581e-3
weak-chain-depth-4	oracle-pair-first-two	2	2.303498059173e-6
weak-chain-depth-4	oracle-pair-first-two	3	3.781972117743e-9
weak-chain-depth-4	oracle-pair-first-two	4	5.637015667843e-12
weak-chain-depth-4	oracle-pair-all-levels	0	1.000000000000e0
weak-chain-depth-4	oracle-pair-all-levels	1	1.228371733997e-3
weak-chain-depth-4	oracle-pair-all-levels	2	2.282468631971e-6
weak-chain-depth-4	oracle-pair-all-levels	3	3.720010715739e-9
weak-chain-depth-4	oracle-pair-all-levels	4	5.468633505856e-12
weak-chain-depth-4	oracle-map-all-levels	0	1.000000000000e0
weak-chain-depth-4	oracle-map-all-levels	1	1.189103308782e-4
weak-chain-depth-4	oracle-map-all-levels	2	3.120309377198e-8
weak-chain-depth-4	oracle-map-all-levels	3	2.495500277649e-11
community-depth-4	diagonal	0	1.000000000000e0
community-depth-4	diagonal	1	2.861519743340e-1
community-depth-4	diagonal	2	6.480787070974e-2
community-depth-4	diagonal	3	3.560082184222e-2
community-depth-4	diagonal	4	2.202113613663e-2
community-depth-4	diagonal	5	2.213355551999e-2
community-depth-4	diagonal	6	2.920240933146e-2
community-depth-4	diagonal	7	8.354344594643e-3
community-depth-4	diagonal	8	1.778575215937e-3
