case	family	dimension	tuples	components	coarse_dimension	coarse_tuples	method	role	preconditioner_symmetry_defect	quotient_symmetry_defect	range_leakage	minimum_preconditioner_energy	minimum_preconditioned_eigenvalue	maximum_preconditioned_eigenvalue	preconditioned_condition_number	one_step_error_spectral_radius	one_step_error_energy_norm	pcg_iterations	pcg_converged	pcg_final_relative_residual	gramian_applications	preconditioner_applications	retained_bytes_estimate
disconnected-ragged-depth	disconnected-ragged-depth	42	328	2	21	41	jacobi-0.4	smoother-only	0.000000000000e0	6.460281909172e-17	3.244248995018e-2	1.666666666667e-1	3.279690637266e-1	1.200000000000e0	3.658881683427e0	6.720309362734e-1	6.720309362734e-1	9	true	6.427433216697e-11	18	9	10576
disconnected-ragged-depth	disconnected-ragged-depth	42	328	2	21	41	jacobi-0.5	smoother-only	0.000000000000e0	6.308700225566e-17	3.244248995018e-2	2.083333333333e-1	4.099613296583e-1	1.500000000000e0	3.658881683427e0	5.900386703417e-1	5.900386703417e-1	9	true	6.427447410007e-11	18	9	10576
disconnected-ragged-depth	disconnected-ragged-depth	42	328	2	21	41	jacobi-0.6	smoother-only	0.000000000000e0	6.328752473273e-17	3.244248995018e-2	2.500000000000e-1	4.919535955899e-1	1.800000000000e0	3.658881683427e0	8.000000000000e-1	8.000000000000e-1	9	true	6.427457263039e-11	18	9	10576
disconnected-ragged-depth	disconnected-ragged-depth	42	328	2	21	41	symmetric-map	smoother-only	5.585200756128e-16	3.943356519404e-16	1.394797073044e-15	1.448165026454e-1	9.666412083365e-1	1.000000000000e0	1.034510003687e0	3.335879166350e-2	3.335879166350e-2	5	true	2.806154531436e-12	10	5	10240
disconnected-ragged-depth	disconnected-ragged-depth	42	328	2	21	41	exact-pair-schwarz	smoother-only	1.371647368280e-16	2.256143040499e-16	1.400076233468e-15	2.171703175746e-1	9.029938919659e-1	1.500000000000e0	1.661140804324e0	5.000000000000e-1	5.000000000000e-1	8	true	3.539641285947e-11	16	8	29728
disconnected-ragged-depth	disconnected-ragged-depth	42	328	2	21	41	pair-cmg-all	smoother-only	1.429964084996e-16	2.087341186887e-16	1.453623514890e-15	2.171703175746e-1	9.029938919659e-1	1.500000000000e0	1.661140804324e0	5.000000000000e-1	5.000000000000e-1	8	true	3.539647107076e-11	16	8	31944
disconnected-ragged-depth	disconnected-ragged-depth	42	328	2	21	41	selected-1-2-plus-jacobi	smoother-only	1.498587370623e-16	2.088655943553e-16	8.056454306484e-3	5.434782608696e-2	1.214477902022e-1	8.750000000000e-1	7.204742042183e0	8.785522097978e-1	8.785522097978e-1	11	true	2.602139528619e-11	22	11	28056
disconnected-ragged-depth	disconnected-ragged-depth	42	328	2	21	41	selected-1-2-plus-map	smoother-only	4.158052245267e-16	3.156614903448e-16	1.446703735241e-15	2.172246543852e-1	9.769804174980e-1	1.500000000000e0	1.535342953794e0	5.000000000000e-1	5.000000000000e-1	7	true	3.270033339327e-11	14	7	27720
disconnected-ragged-depth	disconnected-ragged-depth	42	328	2	21	41	exact-coarse-only	coarse-only	1.753366193159e-16	2.437034340223e-16	1.495981853187e-15	-6.484708636868e-16	-3.806884428723e-16	1.000000000000e0	inf	1.000000000000e0	1.000000000000e0	NA	NA	NA	NA	NA	15804
disconnected-ragged-depth	disconnected-ragged-depth	42	328	2	21	41	two-grid-jacobi	two-grid	1.765745028792e-16	2.438143356070e-16	1.397922361514e-15	1.448165735084e-1	7.500000000000e-1	1.000000000000e0	1.333333333333e0	2.500000000000e-1	2.500000000000e-1	2	true	1.318304551631e-16	4	2	16140
disconnected-ragged-depth	disconnected-ragged-depth	42	328	2	21	41	two-grid-symmetric-map	two-grid	1.978093101528e-16	2.950214324496e-16	1.404664314202e-15	1.448165735084e-1	1.000000000000e0	1.000000000000e0	1.000000000000e0	1.671917203088e-14	1.671917203088e-14	1	true	1.064915048258e-16	2	1	15804
disconnected-ragged-depth	disconnected-ragged-depth	42	328	2	21	41	two-grid-exact-pair	two-grid	1.821485847151e-16	2.148021432835e-16	1.368975142164e-15	1.448165735084e-1	1.000000000000e0	1.000000000000e0	1.000000000000e0	1.735029474236e-14	1.735029474236e-14	1	true	2.477073478103e-16	2	1	45532
disconnected-ragged-depth	disconnected-ragged-depth	42	328	2	21	41	two-grid-pair-cmg	two-grid	2.042161657881e-16	2.683743376632e-16	1.361169067014e-15	1.448165735084e-1	1.000000000000e0	1.000000000000e0	1.000000000000e0	1.762074594118e-14	1.762074594118e-14	1	true	2.137113476534e-16	2	1	47748
