set	case	family	method	iteration	relative_true_residual
portfolio-holdout	planted-communities-cover-605	planted-communities	oracle	4	4.787675883346e-6
portfolio-holdout	planted-communities-cover-605	planted-communities	oracle	5	5.652318533374e-8
portfolio-holdout	planted-communities-cover-605	planted-communities	oracle	6	5.971664928338e-10
portfolio-holdout	planted-communities-cover-605	planted-communities	oracle	7	7.661784747728e-13
portfolio-holdout	planted-communities-cover-605	planted-communities	one-shot-pair-neighborhood	0	1.000000000000e0
portfolio-holdout	planted-communities-cover-605	planted-communities	one-shot-pair-neighborhood	1	4.022850485218e-3
portfolio-holdout	planted-communities-cover-605	planted-communities	one-shot-pair-neighborhood	2	9.882128351638e-4
portfolio-holdout	planted-communities-cover-605	planted-communities	one-shot-pair-neighborhood	3	4.170866326112e-4
portfolio-holdout	planted-communities-cover-605	planted-communities	one-shot-pair-neighborhood	4	4.757710112038e-6
portfolio-holdout	planted-communities-cover-605	planted-communities	one-shot-pair-neighborhood	5	5.231912463927e-8
portfolio-holdout	planted-communities-cover-605	planted-communities	one-shot-pair-neighborhood	6	3.089285805402e-10
portfolio-holdout	planted-communities-cover-605	planted-communities	one-shot-pair-neighborhood	7	6.629936282503e-13
portfolio-holdout	planted-communities-cover-605	planted-communities	primary-bootstrap-final	0	1.000000000000e0
portfolio-holdout	planted-communities-cover-605	planted-communities	primary-bootstrap-final	1	1.448400492102e-2
portfolio-holdout	planted-communities-cover-605	planted-communities	primary-bootstrap-final	2	6.411993031420e-3
portfolio-holdout	planted-communities-cover-605	planted-communities	primary-bootstrap-final	3	6.932104477302e-3
portfolio-holdout	planted-communities-cover-605	planted-communities	primary-bootstrap-final	4	8.971322485663e-4
portfolio-holdout	planted-communities-cover-605	planted-communities	primary-bootstrap-final	5	5.200451190118e-4
portfolio-holdout	planted-communities-cover-605	planted-communities	primary-bootstrap-final	6	8.849511172158e-6
portfolio-holdout	planted-communities-cover-605	planted-communities	primary-bootstrap-final	7	3.326936137598e-8
portfolio-holdout	planted-communities-cover-605	planted-communities	primary-bootstrap-final	8	3.164658160551e-10
portfolio-holdout	planted-communities-cover-605	planted-communities	primary-bootstrap-final	9	9.460263248726e-14
portfolio-holdout	planted-communities-cover-605	planted-communities	portfolio-final	0	1.000000000000e0
portfolio-holdout	planted-communities-cover-605	planted-communities	portfolio-final	1	1.448400492102e-2
portfolio-holdout	planted-communities-cover-605	planted-communities	portfolio-final	2	6.411993031420e-3
portfolio-holdout	planted-communities-cover-605	planted-communities	portfolio-final	3	6.932104477302e-3
portfolio-holdout	planted-communities-cover-605	planted-communities	portfolio-final	4	8.971322485663e-4
portfolio-holdout	planted-communities-cover-605	planted-communities	portfolio-final	5	5.200451190118e-4
portfolio-holdout	planted-communities-cover-605	planted-communities	portfolio-final	6	8.849511172158e-6
portfolio-holdout	planted-communities-cover-605	planted-communities	portfolio-final	7	3.326936137598e-8
portfolio-holdout	planted-communities-cover-605	planted-communities	portfolio-final	8	3.164658160551e-10
portfolio-holdout	planted-communities-cover-605	planted-communities	portfolio-final	9	9.460263248726e-14
portfolio-holdout	hub-power-law-cover-606	hub-power-law	baseline-symmetric-map	0	1.000000000000e0
portfolio-holdout	hub-power-law-cover-606	hub-power-law	baseline-symmetric-map	1	2.687396550832e-2
portfolio-holdout	hub-power-law-cover-606	hub-power-law	baseline-symmetric-map	2	4.409667066048e-3
portfolio-holdout	hub-power-law-cover-606	hub-power-law	baseline-symmetric-map	3	3.193532729765e-4
portfolio-holdout	hub-power-law-cover-606	hub-power-law	baseline-symmetric-map	4	3.658359042081e-5
portfolio-holdout	hub-power-law-cover-606	hub-power-law	baseline-symmetric-map	5	3.643558245335e-6
portfolio-holdout	hub-power-law-cover-606	hub-power-law	baseline-symmetric-map	6	2.405195393844e-7
portfolio-holdout	hub-power-law-cover-606	hub-power-law	baseline-symmetric-map	7	1.656783409651e-8
portfolio-holdout	hub-power-law-cover-606	hub-power-law	baseline-symmetric-map	8	6.845383255732e-10
portfolio-holdout	hub-power-law-cover-606	hub-power-law	baseline-symmetric-map	9	5.568622269050e-11
portfolio-holdout	hub-power-law-cover-606	hub-power-law	oracle	0	1.000000000000e0
portfolio-holdout	hub-power-law-cover-606	hub-power-law	oracle	1	1.104339740760e-3
portfolio-holdout	hub-power-law-cover-606	hub-power-law	oracle	2	6.112695712483e-5
portfolio-holdout	hub-power-law-cover-606	hub-power-law	oracle	3	1.710156814780e-6
portfolio-holdout	hub-power-law-cover-606	hub-power-law	oracle	4	2.552271571189e-8
portfolio-holdout	hub-power-law-cover-606	hub-power-law	oracle	5	1.070719795589e-10
portfolio-holdout	hub-power-law-cover-606	hub-power-law	oracle	6	4.629403857503e-13
portfolio-holdout	hub-power-law-cover-606	hub-power-law	one-shot-pair-neighborhood	0	1.000000000000e0
portfolio-holdout	hub-power-law-cover-606	hub-power-law	one-shot-pair-neighborhood	1	7.133800274454e-4
portfolio-holdout	hub-power-law-cover-606	hub-power-law	one-shot-pair-neighborhood	2	1.324934586972e-5
portfolio-holdout	hub-power-law-cover-606	hub-power-law	one-shot-pair-neighborhood	3	2.473889419277e-7
portfolio-holdout	hub-power-law-cover-606	hub-power-law	one-shot-pair-neighborhood	4	5.960367776090e-9
portfolio-holdout	hub-power-law-cover-606	hub-power-law	one-shot-pair-neighborhood	5	1.213709918522e-11
portfolio-holdout	hub-power-law-cover-606	hub-power-law	primary-bootstrap-final	0	1.000000000000e0
portfolio-holdout	hub-power-law-cover-606	hub-power-law	primary-bootstrap-final	1	3.252955094992e-4
portfolio-holdout	hub-power-law-cover-606	hub-power-law	primary-bootstrap-final	2	1.409800450961e-5
portfolio-holdout	hub-power-law-cover-606	hub-power-law	primary-bootstrap-final	3	1.977210311098e-7
portfolio-holdout	hub-power-law-cover-606	hub-power-law	primary-bootstrap-final	4	1.549048213564e-9
portfolio-holdout	hub-power-law-cover-606	hub-power-law	primary-bootstrap-final	5	1.893641131456e-11
portfolio-holdout	hub-power-law-cover-606	hub-power-law	portfolio-final	0	1.000000000000e0
portfolio-holdout	hub-power-law-cover-606	hub-power-law	portfolio-final	1	3.252955094992e-4
portfolio-holdout	hub-power-law-cover-606	hub-power-law	portfolio-final	2	1.409800450961e-5
portfolio-holdout	hub-power-law-cover-606	hub-power-law	portfolio-final	3	1.977210311098e-7
portfolio-holdout	hub-power-law-cover-606	hub-power-law	portfolio-final	4	1.549048213564e-9
portfolio-holdout	hub-power-law-cover-606	hub-power-law	portfolio-final	5	1.893641131456e-11
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	0	1.000000000000e0
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	1	1.144853912437e-2
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	2	7.091844494620e-3
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	3	3.616202231985e-3
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	4	1.446792317001e-3
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	5	2.676719641522e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	6	2.038157747485e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	7	2.518250432744e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	8	2.863456310841e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	9	7.369863947896e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	10	2.613672208488e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	11	1.812647301888e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	12	2.516265161647e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	13	5.693654545467e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	14	2.510305559697e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	15	2.773989942527e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	16	9.661771682247e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	17	4.774086025995e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	18	5.042553073094e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	19	4.706871940743e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	20	1.043762696617e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	21	1.988262617117e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	22	6.126622946554e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	23	5.007124156426e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	24	6.524680195078e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	25	8.489350998309e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	26	3.722908661306e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	27	1.153102751878e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	28	3.287369077360e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	29	4.551377157953e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	30	1.577870119834e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	31	2.411812872003e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	32	6.686292101376e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	33	7.330872860784e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	34	6.119425110664e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	35	6.577994550476e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	36	8.018847594853e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	37	7.008601906350e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	38	4.997680943632e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	39	4.859933576513e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	40	4.912525891790e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	41	7.827576377223e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	42	3.512813342587e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	43	1.660751851160e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	44	2.098568510222e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	45	1.769848622370e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	46	2.465361567830e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	47	1.875767134294e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	48	2.602683850333e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	49	1.448394280343e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	50	5.885432021043e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	51	2.852635235305e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	52	9.110448080306e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	53	3.938134863686e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	54	2.482661279472e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	55	4.105122455707e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	56	1.157332794428e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	57	1.221099697134e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	58	1.517541648082e-9
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	baseline-symmetric-map	59	1.253715868174e-11
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	0	1.000000000000e0
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	1	1.403068394349e-3
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	2	5.878013697828e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	3	1.203706186036e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	4	1.118968962759e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	5	2.025769643572e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	6	2.182403083709e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	7	4.952393852537e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	8	4.737107926884e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	9	2.893062398529e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	10	2.864981628450e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	11	1.715670382624e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	12	1.215063494269e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	13	1.195690855242e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	14	5.043685312047e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	15	5.041225397811e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	16	8.735278664135e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	17	1.264179903999e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	18	1.150455944966e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	19	1.254594164355e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	20	1.260712913417e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	21	7.724770801237e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	22	4.493865073113e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	23	4.790515904004e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	24	3.645210248496e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	25	9.861391122609e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	26	1.014701070898e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	27	9.273205737904e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	28	4.207738028413e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	29	4.068566733117e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	30	1.318387757444e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	31	5.631062046119e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	32	3.720674613261e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	oracle	33	1.350457196000e-12
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	0	1.000000000000e0
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	1	7.223859926173e-3
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	2	4.099297350232e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	3	3.706773393665e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	4	2.420745628370e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	5	1.193153197935e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	6	2.961653540124e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	7	1.730657671359e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	8	1.623637070572e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	9	1.039068917718e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	10	8.105079084696e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	11	3.152838343475e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	12	3.160162062020e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	13	1.245958250090e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	14	6.568554799125e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	15	5.881990512174e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	16	5.662297050335e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	17	4.490972603548e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	18	7.123952705478e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	19	2.705347171024e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	20	2.656671180749e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	21	1.775838641078e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	22	1.187175216936e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	23	9.592325377719e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	24	2.260726899149e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	25	2.043189947283e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	26	3.731662120100e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	27	2.556814923044e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	28	2.447231520584e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	29	1.041378657044e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	one-shot-pair-neighborhood	30	8.394505682077e-11
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	0	1.000000000000e0
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	1	5.578566497583e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	2	5.021864022611e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	3	2.811636651386e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	4	2.680969826402e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	5	1.977914921652e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	6	7.262272936449e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	7	6.683760783316e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	8	3.140344418049e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	9	5.100373754516e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	10	3.102761869148e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	11	2.609767615669e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	12	2.279046903387e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	13	3.744263787811e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	14	2.010727392424e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	15	1.521401803081e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	16	1.121443567362e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	17	8.422188639598e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	18	7.527695979912e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	19	3.489893777918e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	20	3.765042645301e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	21	3.618499117178e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	22	1.055790771420e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	23	1.779546239819e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	24	4.112052326204e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	25	3.816354630101e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	26	6.140340970190e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	27	3.033414484728e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	28	8.369692511509e-9
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	29	1.600848767234e-9
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	30	2.619351106771e-9
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	primary-bootstrap-final	31	7.106116448412e-11
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	0	1.000000000000e0
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	1	5.578566497583e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	2	5.021864022611e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	3	2.811636651386e-4
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	4	2.680969826402e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	5	1.977914921652e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	6	7.262272936449e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	7	6.683760783316e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	8	3.140344418049e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	9	5.100373754516e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	10	3.102761869148e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	11	2.609767615669e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	12	2.279046903387e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	13	3.744263787811e-5
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	14	2.010727392424e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	15	1.521401803081e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	16	1.121443567362e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	17	8.422188639598e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	18	7.527695979912e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	19	3.489893777918e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	20	3.765042645301e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	21	3.618499117178e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	22	1.055790771420e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	23	1.779546239819e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	24	4.112052326204e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	25	3.816354630101e-8
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	26	6.140340970190e-7
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	27	3.033414484728e-6
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	28	8.369692511509e-9
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	29	1.600848767234e-9
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	30	2.619351106771e-9
portfolio-holdout	weight-dynamic-range-cover-607	weight-dynamic-range	portfolio-final	31	7.106116448412e-11
portfolio-holdout	latin-square-cover-608	latin-square	baseline-symmetric-map	0	1.000000000000e0
portfolio-holdout	latin-square-cover-608	latin-square	baseline-symmetric-map	1	4.338060522348e-2
portfolio-holdout	latin-square-cover-608	latin-square	baseline-symmetric-map	2	1.218208964172e-2
portfolio-holdout	latin-square-cover-608	latin-square	baseline-symmetric-map	3	6.251022870097e-3
portfolio-holdout	latin-square-cover-608	latin-square	baseline-symmetric-map	4	2.450692317829e-3
