set	case	family	requested_seed	actual_seed	structural_skips	method	accepted	structural_admissible	selected_source	structural_baseline_selected	exact_oracle_partition	oracle_pair_recall	wrong_pair_count	fine_dimension	fine_tuples	coarse_dimension	coarse_tuples	coarse_dimension_ratio	tuple_reduction	two_level_tuple_complexity	compatible_diagonal_factor	compatible_energy_factor	baseline_map_condition	oracle_two_grid_condition	candidate_condition	oracle_improvement_recovered	pcg_iterations	pcg_converged	pcg_final_relative_residual	pcg_gramian_applications	pcg_preconditioner_applications	bootstrap_rounds	bootstrap_witnesses	repair_splits	candidate_pairs_generated	candidate_pairs_retained	retained_test_vector_bytes	retained_report_bytes_estimate	stop_reason
calibration	nearly-nested-cover-175	nearly-nested	175	175	0	bootstrap-final	true	true	witness-split-repair	false	false	0.000000000000e0	16	36	144	20	106	5.555555555556e-1	2.638888888889e-1	1.736111111111e0	8.268081180009e-1	7.803158668497e-1	9.072233989016e1	2.068220328469e0	2.932299872704e1	6.925717774502e-1	15	true	4.357312819164e-15	30	15	3	2	2	594	580	1728	89656	AcceptedAfterSplitRepair { witnesses: 2, splits: 2 }
calibration	nearly-nested-cover-370	nearly-nested	370	370	0	oracle	false	true	oracle-reference	false	true	1.000000000000e0	0	36	144	18	72	5.000000000000e-1	5.000000000000e-1	1.500000000000e0	8.543263852702e-1	7.963913442281e-1	9.094354094063e1	NA	2.542326799182e0	NA	8	true	7.106664135833e-11	16	8	0	0	0	0	0	0	0	
calibration	nearly-nested-cover-370	nearly-nested	370	370	0	baseline-symmetric-map	true	true	baseline	false	false	0.000000000000e0	0	36	144	0	0	0.000000000000e0	0.000000000000e0	1.000000000000e0	NA	NA	9.094354094063e1	2.542326799182e0	9.094354094063e1	0.000000000000e0	19	true	4.114822141885e-14	38	19	0	0	0	0	0	0	0	baseline
calibration	nearly-nested-cover-370	nearly-nested	370	370	0	one-shot-pair-neighborhood	false	true	structural-baseline	false	false	1.111111111111e-1	16	36	144	18	87	5.000000000000e-1	3.958333333333e-1	1.604166666667e0	9.017197638553e-1	7.365256920304e-1	9.094354094063e1	2.542326799182e0	4.486847593759e1	5.212039840235e-1	12	true	6.832844246268e-11	24	12	0	0	0	0	0	0	0	
calibration	nearly-nested-cover-370	nearly-nested	370	370	0	bootstrap-initial	false	true	relaxed-signature-initial	false	false	0.000000000000e0	18	36	144	18	111	5.000000000000e-1	2.291666666667e-1	1.770833333333e0	8.923341754118e-1	8.042418111959e-1	9.094354094063e1	2.542326799182e0	3.881705308573e1	5.896580534686e-1	15	true	1.110132323937e-15	30	15	0	0	0	0	0	0	0	
calibration	nearly-nested-cover-370	nearly-nested	370	370	0	bootstrap-final	true	true	witness-split-repair	false	false	0.000000000000e0	16	36	144	20	110	5.555555555556e-1	2.361111111111e-1	1.763888888889e0	8.151800608682e-1	7.615772567548e-1	9.094354094063e1	2.542326799182e0	3.438830448162e1	6.397563314969e-1	14	true	1.895684478471e-12	28	14	7	6	2	1386	1352	2880	140888	AcceptedAfterSplitRepair { witnesses: 6, splits: 2 }
calibration	nearly-nested-cover-118	nearly-nested	118	118	0	oracle	true	true	oracle-reference	false	true	1.000000000000e0	0	36	144	18	72	5.000000000000e-1	5.000000000000e-1	1.500000000000e0	8.158850931276e-1	7.557637155254e-1	9.087725409468e1	NA	1.780676786392e0	NA	8	true	9.802161580622e-13	16	8	0	0	0	0	0	0	0	
calibration	nearly-nested-cover-118	nearly-nested	118	118	0	baseline-symmetric-map	true	true	baseline	false	false	0.000000000000e0	0	36	144	0	0	0.000000000000e0	0.000000000000e0	1.000000000000e0	NA	NA	9.087725409468e1	1.780676786392e0	9.087725409468e1	0.000000000000e0	18	true	9.123824216815e-11	36	18	0	0	0	0	0	0	0	baseline
calibration	nearly-nested-cover-118	nearly-nested	118	118	0	one-shot-pair-neighborhood	false	true	structural-baseline	false	false	1.111111111111e-1	16	36	144	18	100	5.000000000000e-1	3.055555555556e-1	1.694444444444e0	8.999516018208e-1	7.621749131632e-1	9.087725409468e1	1.780676786392e0	4.180535802542e1	5.507719550153e-1	13	true	3.852535754102e-13	26	13	0	0	0	0	0	0	0	
calibration	nearly-nested-cover-118	nearly-nested	118	118	0	bootstrap-initial	false	true	relaxed-signature-initial	false	false	0.000000000000e0	18	36	144	18	109	5.000000000000e-1	2.430555555556e-1	1.756944444444e0	8.797659192010e-1	7.932503289359e-1	9.087725409468e1	1.780676786392e0	4.015937655981e1	5.692460818038e-1	14	true	3.339509259543e-12	28	14	0	0	0	0	0	0	0	
calibration	nearly-nested-cover-118	nearly-nested	118	118	0	bootstrap-final	true	true	witness-split-repair	false	false	0.000000000000e0	17	36	144	19	107	5.277777777778e-1	2.569444444444e-1	1.743055555556e0	7.964438466666e-1	7.694530376976e-1	9.087725409468e1	1.780676786392e0	3.304888672295e1	6.490526249020e-1	14	true	4.427601168384e-12	28	14	3	2	1	594	581	1728	76848	AcceptedAfterSplitRepair { witnesses: 2, splits: 1 }
calibration	nearly-nested-cover-211	nearly-nested	211	211	0	oracle	false	true	oracle-reference	false	true	1.000000000000e0	0	36	144	18	72	5.000000000000e-1	5.000000000000e-1	1.500000000000e0	8.544208060151e-1	7.950121320016e-1	9.147466490645e1	NA	1.886496692908e0	NA	8	true	5.453597675742e-11	16	8	0	0	0	0	0	0	0	
calibration	nearly-nested-cover-211	nearly-nested	211	211	0	baseline-symmetric-map	true	true	baseline	false	false	0.000000000000e0	0	36	144	0	0	0.000000000000e0	0.000000000000e0	1.000000000000e0	NA	NA	9.147466490645e1	1.886496692908e0	9.147466490645e1	0.000000000000e0	19	true	4.306421292149e-13	38	19	0	0	0	0	0	0	0	baseline
calibration	nearly-nested-cover-211	nearly-nested	211	211	0	one-shot-pair-neighborhood	true	true	structural-baseline	false	false	3.333333333333e-1	12	36	144	18	94	5.000000000000e-1	3.472222222222e-1	1.652777777778e0	7.679952896401e-1	7.380034468801e-1	9.147466490645e1	1.886496692908e0	4.452011085305e1	5.241155722871e-1	12	true	6.067758274640e-12	24	12	0	0	0	0	0	0	0	
calibration	nearly-nested-cover-211	nearly-nested	211	211	0	bootstrap-initial	false	true	relaxed-signature-initial	false	false	5.555555555556e-2	17	36	144	18	102	5.000000000000e-1	2.916666666667e-1	1.708333333333e0	8.800661245440e-1	8.062988105189e-1	9.147466490645e1	1.886496692908e0	3.576003387563e1	6.218972007332e-1	15	true	5.026511131796e-15	30	15	0	0	0	0	0	0	0	
calibration	nearly-nested-cover-211	nearly-nested	211	211	0	bootstrap-final	true	true	protected-structural-baseline	true	false	3.333333333333e-1	12	36	144	18	94	5.000000000000e-1	3.472222222222e-1	1.652777777778e0	7.679952896401e-1	7.380034468801e-1	9.147466490645e1	1.886496692908e0	4.452011085305e1	5.241155722871e-1	12	true	6.067758274640e-12	24	12	4	3	1	792	785	2016	89656	AcceptedStructuralBaseline
